secs_into_window,epoch,price
74,1774713374.032,66997.91000000
76,1774713376.293,66997.90000000
77,1774713377.136,67005.63000000
78,1774713378.043,67013.78000000
79,1774713379.069,67016.17000000
80,1774713380.041,67021.32000000
81,1774713381.319,67021.32000000
82,1774713382.545,67021.32000000
84,1774713384.656,67021.33000000
85,1774713385.200,67021.33000000
86,1774713386.805,67021.33000000
88,1774713388.248,67021.33000000
89,1774713389.176,67021.32000000
90,1774713390.192,67021.33000000
91,1774713391.166,67014.59000000
92,1774713392.339,67012.00000000
93,1774713393.635,67012.01000000
94,1774713394.580,67012.01000000
95,1774713395.338,67012.00000000
96,1774713396.076,67012.01000000
99,1774713399.064,67012.00000000
100,1774713400.151,67012.00000000
101,1774713401.277,67012.01000000
102,1774713402.710,67012.00000000
103,1774713403.047,67012.01000000
105,1774713405.391,67012.01000000
106,1774713406.870,67012.01000000
107,1774713407.318,67012.01000000
108,1774713408.025,67009.33000000
110,1774713410.053,67002.00000000
112,1774713412.439,67002.00000000
113,1774713413.364,67002.00000000
114,1774713414.285,66997.30000000
116,1774713416.227,66997.30000000
117,1774713417.206,66997.30000000
118,1774713418.278,66997.30000000
119,1774713419.156,66994.61000000
120,1774713420.033,66994.61000000
121,1774713421.389,66994.61000000
122,1774713422.452,66994.60000000
123,1774713423.498,66994.61000000
124,1774713424.420,66994.61000000
125,1774713425.341,66994.60000000
126,1774713426.161,66986.66000000
127,1774713427.184,66982.51000000
128,1774713428.420,66982.50000000
129,1774713429.221,66982.51000000
132,1774713432.315,66982.50000000
133,1774713433.023,66982.51000000
134,1774713434.228,66982.50000000
135,1774713435.172,66982.51000000
136,1774713436.326,66982.50000000
137,1774713437.219,66977.28000000
138,1774713438.346,66972.03000000
139,1774713439.985,66972.03000000
140,1774713440.286,66972.02000000
141,1774713441.533,66972.03000000
142,1774713442.033,66972.03000000
143,1774713443.466,66972.03000000
144,1774713444.388,66972.03000000
145,1774713445.206,66972.02000000
146,1774713446.334,66972.02000000
148,1774713448.094,66972.03000000
149,1774713449.686,66972.03000000
150,1774713450.224,66972.03000000
151,1774713451.024,66972.03000000
153,1774713453.016,66972.02000000
154,1774713454.453,66972.03000000
155,1774713455.091,66972.02000000
156,1774713456.368,66972.03000000
157,1774713457.190,66972.02000000
158,1774713458.192,66972.03000000
159,1774713459.207,66972.03000000
160,1774713460.157,66972.02000000
161,1774713461.488,66972.03000000
162,1774713462.411,66972.03000000
165,1774713465.045,66972.03000000
166,1774713466.657,66972.02000000
167,1774713467.632,66972.03000000
168,1774713468.077,66972.03000000
169,1774713469.698,66972.02000000
170,1774713470.735,66972.02000000
171,1774713471.572,66972.02000000
173,1774713473.176,66972.03000000
176,1774713476.505,66972.02000000
177,1774713477.054,66972.01000000
178,1774713478.473,66972.01000000
179,1774713479.669,66969.05000000
180,1774713480.331,66969.05000000
181,1774713481.354,66969.05000000
182,1774713482.105,66969.04000000
183,1774713483.710,66969.04000000
184,1774713484.172,66969.04000000
185,1774713485.127,66964.11000000
186,1774713486.327,66964.10000000
187,1774713487.115,66964.11000000
188,1774713488.505,66964.10000000
189,1774713489.082,66964.10000000
190,1774713490.722,66964.11000000
192,1774713492.317,66964.10000000
193,1774713493.283,66964.10000000
194,1774713494.395,66964.11000000
195,1774713495.327,66964.10000000
196,1774713496.715,66935.18000000
197,1774713497.328,66935.17000000
198,1774713498.069,66935.18000000
199,1774713499.233,66935.17000000
200,1774713500.400,66935.17000000
201,1774713501.773,66935.18000000
202,1774713502.550,66935.17000000
203,1774713503.014,66935.95000000
204,1774713504.280,66947.32000000
205,1774713505.111,66947.32000000
206,1774713506.041,66951.91000000
207,1774713507.602,66956.00000000
208,1774713508.490,66960.27000000
210,1774713510.333,66960.27000000
211,1774713511.460,66960.27000000
212,1774713512.093,66960.26000000
213,1774713513.144,66960.27000000
214,1774713514.013,66960.27000000
215,1774713515.043,66960.26000000
216,1774713516.393,66960.27000000
217,1774713517.692,66960.26000000
218,1774713518.009,66960.27000000
219,1774713519.446,66960.27000000
220,1774713520.266,66960.26000000
221,1774713521.258,66960.27000000
223,1774713523.747,66960.26000000
224,1774713524.465,66960.27000000
225,1774713525.079,66960.26000000
226,1774713526.717,66960.27000000
227,1774713527.434,66960.26000000
228,1774713528.028,66960.26000000
229,1774713529.163,66960.27000000
230,1774713530.155,66963.80000000
231,1774713531.633,66964.65000000
232,1774713532.302,66970.49000000
233,1774713533.217,66970.49000000
234,1774713534.055,66970.50000000
235,1774713535.166,66970.50000000
236,1774713536.190,66970.50000000
237,1774713537.184,66970.49000000
238,1774713538.401,66973.47000000
239,1774713539.687,66978.16000000
240,1774713540.542,66982.93000000
241,1774713541.251,66984.89000000
242,1774713542.378,66986.02000000
243,1774713543.623,66986.02000000
244,1774713544.231,66986.01000000
245,1774713545.317,66986.01000000
246,1774713546.387,66986.02000000
247,1774713547.388,66986.01000000
248,1774713548.426,66986.01000000
249,1774713549.747,66986.01000000
250,1774713550.738,66986.01000000
251,1774713551.365,66986.01000000
252,1774713552.395,66986.02000000
253,1774713553.263,66986.02000000
254,1774713554.047,66986.02000000
255,1774713555.133,66986.02000000
256,1774713556.311,66986.01000000
257,1774713557.043,66986.02000000
258,1774713558.956,66986.02000000
259,1774713559.020,66986.01000000
260,1774713560.220,66986.01000000
261,1774713561.362,66986.01000000
262,1774713562.358,66986.01000000
264,1774713564.037,66986.02000000
265,1774713565.270,66986.02000000
266,1774713566.218,66986.02000000
267,1774713567.394,66986.02000000
268,1774713568.356,66986.02000000
269,1774713569.021,66986.01000000
270,1774713570.065,66986.01000000
271,1774713571.112,66986.02000000
273,1774713573.620,66986.02000000
274,1774713574.113,66986.01000000
276,1774713576.192,66986.02000000
277,1774713577.440,66986.02000000
278,1774713578.190,66986.02000000
279,1774713579.317,66986.01000000
280,1774713580.625,66986.02000000
281,1774713581.461,66986.02000000
282,1774713582.144,66986.01000000
283,1774713583.251,66986.02000000
284,1774713584.736,66992.71000000
285,1774713585.188,66992.71000000
286,1774713586.096,66992.70000000
287,1774713587.205,66992.70000000
288,1774713588.092,66992.70000000
289,1774713589.079,66992.71000000
290,1774713590.191,66992.71000000
291,1774713591.844,66992.70000000
292,1774713592.080,66992.71000000
293,1774713593.485,66994.97000000
295,1774713595.940,66999.40000000
296,1774713596.144,66999.40000000
297,1774713597.065,66999.40000000
298,1774713598.316,66999.40000000
299,1774713599.390,66999.40000000
300,1774713600.350,66999.39000000
