secs_into_window,epoch,price
2,1774713302.274,66977.62000000
3,1774713303.229,66977.62000000
4,1774713304.563,66977.62000000
5,1774713305.056,66977.62000000
6,1774713306.353,66977.62000000
7,1774713307.068,66977.63000000
9,1774713309.527,66977.63000000
10,1774713310.199,66980.00000000
11,1774713311.202,66979.99000000
12,1774713312.148,66980.00000000
13,1774713313.015,66980.00000000
14,1774713314.136,66982.50000000
15,1774713315.064,66982.50000000
16,1774713316.080,66982.49000000
17,1774713317.337,66982.49000000
18,1774713318.539,66982.50000000
19,1774713319.041,66982.50000000
20,1774713320.176,66982.51000000
21,1774713321.175,66982.50000000
22,1774713322.736,66982.51000000
23,1774713323.394,66982.51000000
24,1774713324.476,66982.50000000
25,1774713325.272,66982.50000000
27,1774713327.232,66982.50000000
28,1774713328.368,66982.50000000
29,1774713329.229,66982.50000000
30,1774713330.005,66982.51000000
31,1774713331.005,66984.71000000
32,1774713332.047,66989.37000000
34,1774713334.206,66989.37000000
35,1774713335.385,66989.38000000
36,1774713336.578,66991.22000000
37,1774713337.030,66991.22000000
38,1774713338.611,66997.90000000
39,1774713339.404,66997.91000000
40,1774713340.042,66997.91000000
41,1774713341.783,66997.91000000
42,1774713342.177,66997.91000000
43,1774713343.520,66997.91000000
44,1774713344.621,66997.91000000
45,1774713345.192,66997.90000000
46,1774713346.288,66997.91000000
47,1774713347.119,66997.90000000
48,1774713348.569,66997.91000000
50,1774713350.510,66997.90000000
51,1774713351.490,66997.90000000
52,1774713352.331,66997.91000000
53,1774713353.151,66997.91000000
54,1774713354.583,66997.91000000
55,1774713355.734,66997.90000000
56,1774713356.003,66997.90000000
57,1774713357.134,66997.91000000
58,1774713358.391,66997.90000000
59,1774713359.292,66997.90000000
60,1774713360.764,66997.90000000
61,1774713361.172,66997.91000000
62,1774713362.438,66997.90000000
63,1774713363.161,66997.91000000
65,1774713365.335,66997.91000000
66,1774713366.791,66997.91000000
68,1774713368.618,66997.91000000
69,1774713369.430,66997.91000000
70,1774713370.020,66997.90000000
71,1774713371.679,66997.90000000
72,1774713372.162,66997.90000000
73,1774713373.116,66997.90000000
