secs_into_window,epoch,price
189,1774714089.392,67036.20000000
190,1774714090.328,67036.20000000
191,1774714091.282,67056.49000000
192,1774714092.273,67056.48000000
193,1774714093.193,67056.48000000
194,1774714094.426,67056.49000000
195,1774714095.145,67057.30000000
196,1774714096.054,67057.30000000
197,1774714097.087,67057.30000000
198,1774714098.042,67057.30000000
199,1774714099.319,67061.55000000
200,1774714100.857,67061.55000000
201,1774714101.051,67061.54000000
202,1774714102.615,67061.54000000
203,1774714103.175,67061.54000000
204,1774714104.024,67061.55000000
205,1774714105.278,67061.55000000
206,1774714106.086,67061.55000000
207,1774714107.123,67061.54000000
208,1774714108.275,67061.99000000
209,1774714109.784,67065.99000000
210,1774714110.393,67065.99000000
211,1774714111.190,67065.99000000
212,1774714112.427,67066.00000000
213,1774714113.435,67066.00000000
214,1774714114.089,67066.00000000
215,1774714115.048,67066.00000000
217,1774714117.052,67066.00000000
218,1774714118.391,67067.75000000
219,1774714119.411,67067.75000000
220,1774714120.096,67067.75000000
221,1774714121.236,67067.75000000
222,1774714122.277,67067.75000000
223,1774714123.862,67067.74000000
224,1774714124.700,67067.75000000
225,1774714125.144,67067.74000000
226,1774714126.046,67067.74000000
227,1774714127.082,67067.75000000
229,1774714129.444,67067.75000000
230,1774714130.381,67067.75000000
231,1774714131.006,67067.75000000
232,1774714132.465,67067.75000000
233,1774714133.179,67067.75000000
234,1774714134.080,67067.74000000
236,1774714136.299,67067.75000000
237,1774714137.330,67066.00000000
238,1774714138.154,67066.01000000
239,1774714139.464,67066.01000000
240,1774714140.299,67066.00000000
242,1774714142.039,67066.01000000
243,1774714143.202,67066.01000000
244,1774714144.498,67066.01000000
246,1774714146.386,67066.01000000
247,1774714147.261,67067.74000000
249,1774714149.617,67067.74000000
250,1774714150.250,67067.73000000
251,1774714151.520,67067.74000000
252,1774714152.258,67067.73000000
253,1774714153.216,67067.74000000
254,1774714154.078,67067.74000000
255,1774714155.024,67067.74000000
256,1774714156.016,67067.74000000
257,1774714157.021,67067.74000000
258,1774714158.016,67067.74000000
259,1774714159.730,67067.73000000
260,1774714160.089,67067.73000000
261,1774714161.191,67066.00000000
263,1774714163.954,67066.01000000
264,1774714164.363,67066.01000000
265,1774714165.182,67066.01000000
266,1774714166.717,67066.00000000
267,1774714167.012,67066.01000000
269,1774714169.763,67066.01000000
270,1774714170.618,67066.01000000
271,1774714171.734,67066.01000000
273,1774714173.053,67066.01000000
274,1774714174.169,67066.04000000
275,1774714175.568,67066.05000000
276,1774714176.027,67066.05000000
277,1774714177.086,67066.05000000
279,1774714179.403,67066.05000000
280,1774714180.166,67066.05000000
281,1774714181.259,67067.74000000
283,1774714183.094,67067.74000000
284,1774714184.437,67067.75000000
285,1774714185.068,67066.05000000
286,1774714186.691,67066.04000000
288,1774714188.009,67066.05000000
289,1774714189.963,67066.05000000
290,1774714190.048,67066.04000000
291,1774714191.808,67067.75000000
292,1774714192.375,67067.75000000
294,1774714194.059,67067.75000000
295,1774714195.057,67067.75000000
296,1774714196.566,67067.75000000
297,1774714197.337,67080.09000000
298,1774714198.278,67080.10000000
299,1774714199.178,67081.67000000
300,1774714200.490,67081.67000000
